Feature,L,DI,Bera_PoF_mean,Bera_PoF_std,Bercea_PoF_mean,Bercea_PoF_std,Bera_FairCost_mean,Bercea_FairCost_mean,Bera_UnfairCost_mean,Bercea_UnfairCost_mean,Bera_Violations,Bercea_Violations,Bera_Time_mean,Bera_Time_std,Bercea_Time_mean,Bercea_Time_std
SEX,2,0.0130,1.001180,0.002044,1.000401,0.000100,113.64,118.12,113.51,118.08,0.20,0.04,0.24,0.06
RACE_BINARY,2,0.2880,1.096663,0.011652,1.117965,0.017673,124.15,126.30,113.18,113.03,0.22,0.02,0.23,0.04
AGE_BIN,4,0.0420,1.011755,0.007415,1.006179,0.003277,124.52,118.27,123.09,117.54,0.25,0.04,0.34,0.21
INC_BIN,4,0.0940,1.007480,0.011065,1.003835,0.001491,118.21,118.08,117.30,117.63,0.29,0.04,0.26,0.04
RACE_6,6,0.3430,1.150274,0.026611,1.198915,0.007530,129.62,154.43,112.62,128.89,0.33,0.06,0.36,0.05
INC_BIN × AGE_BIN,16,0.3000,1.001318,0.000856,1.001001,0.001705,115.11,118.62,114.96,118.50,0.56,0.09,0.43,0.02
INC_BIN × AGE_BIN × SEX,32,0.3000,1.001014,0.001316,1.003966,0.006869,113.96,117.42,113.84,116.95,0.64,0.01,0.58,0.03
INC_BIN × RACE_6 × SEX,64,0.3000,1.013262,0.013751,1.008957,0.011803,118.33,118.16,116.80,117.13,0.81,0.05,0.65,0.01
